item,item_id,item_name,group,group_tag,type,change,format,type,critical,speaker,stimuli,Exaggeration,sentence,sentence_revised,critical region,question,answer,hasquestion,
13,marathon_dir_lit,marathon,1,marathon1,exp,adjective,direct,literal,slow,Steven,"Jane participated in a marathon, boasting that she would be the champion. Steven waited at the finishing post where Jane was one the last few people to finish the race. Steven smirked and said: "" You were such a slow runner."" ",1,"Jane participated in a marathon, boasting that she would be the champion.*Steven waited at the finishing post where Jane was one the last few people to finish the race.*Steven smirked and said: "" You were such a*slow*runner."" ","Jane participated in a marathon, boasting that she would be the champion.*Steven waited at the finishing post where Jane was one the last few people to finish the race.*Steven smirked*and said:*"" You were*such a*slow*runner."" ",7,XXX,2,0,at last
13,marathon_dir_sarc,marathon,2,marathon2,exp,adjective,direct,sarcastic,fast,Steven,"Jane participated in a marathon, boasting that she would be the champion. Steven waited at the finishing post where Jane was one the last few people to finish the race. Steven smirked and said: "" You were such a fast runner."" ",1,"Jane participated in a marathon, boasting that she would be the champion.*Steven waited at the finishing post where Jane was one the last few people to finish the race.*Steven smirked and said: "" You were such a*fast*runner."" ","Jane participated in a marathon, boasting that she would be the champion.*Steven waited at the finishing post where Jane was one the last few people to finish the race.*Steven smirked*and said:*"" You were*such a*fast*runner."" ",7,XXX,2,0,
13,marathon_ind_lit,marathon,3,marathon3,exp,adjective,indirect,literal,slow,Steven,"Jane participated in a marathon, boasting that she would be the champion. Steven waited at the finishing post where Jane was one the last few people to finish the race. Steven smirked and said that she was such a slow runner.",1,"Jane participated in a marathon, boasting that she would be the champion.*Steven waited at the finishing post where Jane was one the last few people to finish the race.*Steven smirked and said that she was such a*slow*runner.","Jane participated in a marathon, boasting that she would be the champion.*Steven waited at the finishing post where Jane was one the last few people to finish the race.*Steven smirked*and said that*she was*such a*slow*runner.",7,XXX,2,0,
13,marathon_ind_sarc,marathon,4,marathon4,exp,adjective,indirect,sarcastic,fast,Steven,"Jane participated in a marathon, boasting that she would be the champion. Steven waited at the finishing post where Jane was one the last few people to finish the race. Steven smirked and said that she was such a fast runner.",1,"Jane participated in a marathon, boasting that she would be the champion.*Steven waited at the finishing post where Jane was one the last few people to finish the race.*Steven smirked and said that she was such a*fast*runner.","Jane participated in a marathon, boasting that she would be the champion.*Steven waited at the finishing post where Jane was one the last few people to finish the race.*Steven smirked*and said that*she was*such a*fast*runner.",7,XXX,2,0,
14,kitchen_dir_lit,kitchen,4,kitchen4,exp,adjective,direct,literal,worthless,Paul,"It was late in the evening and Paul was trying to cook dinner. Cynthia came over to help but unintentionally broke Paul's favourite plate. Paul cried out: ""Your help is worthless! Please go away."" ",0,"It was late in the evening and Paul was trying to cook dinner.*Cynthia came over to help but unintentionally broke Paul's favourite plate.*Paul cried out: ""Your help is*worthless!*Please go away."" ","It was late in the evening and Paul was trying to cook dinner.*Cynthia came over to help but unintentionally broke Paul's favourite plate.*Paul cried out:*""Your help is*worthless!*Please*go away."" ",5,XXX,2,0,at last
14,kitchen_dir_sarc,kitchen,1,kitchen1,exp,adjective,direct,sarcastic,priceless,Paul,"It was late in the evening and Paul was trying to cook dinner. Cynthia came over to help but unintentionally broke Paul's favourite plate. Paul cried out: ""Your help is priceless! Please go away."" ",0,"It was late in the evening and Paul was trying to cook dinner.*Cynthia came over to help but unintentionally broke Paul's favourite plate.*Paul cried out: ""Your help is*priceless!*Please go away."" ","It was late in the evening and Paul was trying to cook dinner.*Cynthia came over to help but unintentionally broke Paul's favourite plate.*Paul cried out:*""Your help is*priceless!*Please*go away."" ",5,XXX,2,0,
14,kitchen_ind_lit,kitchen,2,kitchen2,exp,adjective,indirect,literal,worthless,Paul,It was late in the evening and Paul was trying to cook dinner. Cynthia came over to help but unintentionally broke Paul's favourite plate. Paul cried out that her help was worthless and to go away.,0,It was late in the evening and Paul was trying to cook dinner.*Cynthia came over to help but unintentionally broke Paul's favourite plate.*Paul cried out that her help was*worthless*and to go away.,It was late in the evening and Paul was trying to cook dinner.*Cynthia came over to help but unintentionally broke Paul's favourite plate.*Paul cried out that*her help was*worthless*and to*go away.,5,XXX,2,0,
14,kitchen_ind_sarc,kitchen,3,kitchen3,exp,adjective,indirect,sarcastic,priceless,Paul,It was late in the evening and Paul was trying to cook dinner. Cynthia came over to help but unintentionally broke Paul's favourite plate. Paul cried out that her help was priceless and to go away.,0,It was late in the evening and Paul was trying to cook dinner.*Cynthia came over to help but unintentionally broke Paul's favourite plate.*Paul cried out that her help was*priceless*and to go away.,It was late in the evening and Paul was trying to cook dinner.*Cynthia came over to help but unintentionally broke Paul's favourite plate.*Paul cried out that*her help was*priceless*and to*go away.,5,XXX,2,0,
15,cake_dir_lit,cake,3,cake3,exp,adjective,direct,literal,tiny,Mark,"Debra promised to buy a cake for Mark’s birthday party. Unfortunately, Debra forgot to book in advance and only a very small cake was left. Mark complained: ""What a tiny cake.""",0,"Debra promised to buy a cake for Mark’s birthday party.*Unfortunately, Debra forgot to book in advance and only a very small cake was left.*Mark complained: ""What a*tiny*cake.""","Debra promised to buy a cake for Mark’s birthday party.*Unfortunately, Debra forgot to book in advance and only a very small cake was left.*Mark complained:*""What a*tiny*cake.""",5,XXX,2,0,at last
15,cake_dir_sarc,cake,4,cake4,exp,adjective,direct,sarcastic,huge,Mark,"Debra promised to buy a cake for Mark’s birthday party. Unfortunately, Debra forgot to book in advance and only a very small cake was left. Mark complained: ""What a huge cake.""",0,"Debra promised to buy a cake for Mark’s birthday party.*Unfortunately, Debra forgot to book in advance and only a very small cake was left.*Mark complained: ""What a*huge*cake.""","Debra promised to buy a cake for Mark’s birthday party.*Unfortunately, Debra forgot to book in advance and only a very small cake was left.*Mark complained:*""What a*huge*cake.""",5,XXX,2,0,
15,cake_ind_lit,cake,1,cake1,exp,adjective,indirect,literal,tiny,Mark,"Debra promised to buy a cake for Mark’s birthday party. Unfortunately, Debra forgot to book in advance and only a very small cake was left. Mark complained that it was a tiny cake. ",0,"Debra promised to buy a cake for Mark’s birthday party.*Unfortunately, Debra forgot to book in advance and only a very small cake was left.*Mark complained that it was a*tiny*cake. ","Debra promised to buy a cake for Mark’s birthday party.*Unfortunately, Debra forgot to book in advance and only a very small cake was left.*Mark complained that*it was a*tiny*cake. ",5,XXX,2,0,
15,cake_ind_sarc,cake,2,cake2,exp,adjective,indirect,sarcastic,huge,Mark,"Debra promised to buy a cake for Mark’s birthday party. Unfortunately, Debra forgot to book in advance and only a very small cake was left. Mark complained that it was a huge cake. ",0,"Debra promised to buy a cake for Mark’s birthday party.*Unfortunately, Debra forgot to book in advance and only a very small cake was left.*Mark complained that it was a*huge*cake. ","Debra promised to buy a cake for Mark’s birthday party.*Unfortunately, Debra forgot to book in advance and only a very small cake was left.*Mark complained that*it was a*huge*cake. ",5,XXX,2,0,
16,drawing_dir_lit,drawing,2,drawing2,exp,adjective,direct,literal,terrible,Elizabeth,"Elizabeth and Donald went to an art class together. During a class activity, Elizabeth noticed that Donald's drawing wasn’t very good. Elizabeth commented: ""You are a terrible painter and you need to practice more.""",0,"Elizabeth and Donald went to an art class together.*During a class activity, Elizabeth noticed that Donald's drawing wasn’t very good.*Elizabeth commented: ""You are a*terrible*painter and you need to practice more.""","Elizabeth and Donald went to an art class together.*During a class activity, Elizabeth noticed that Donald's drawing wasn’t very good.*Elizabeth commented:*""You are a*terrible*painter*and you need to*practice more.""",5,XXX,2,0,
16,drawing_dir_sarc,drawing,3,drawing3,exp,adjective,direct,sarcastic,great,Elizabeth,"Elizabeth and Donald went to an art class together. During a class activity, Elizabeth noticed that Donald's drawing wasn’t very good. Elizabeth commented: ""You are a great painter and you need to practice more.""",0,"Elizabeth and Donald went to an art class together.*During a class activity, Elizabeth noticed that Donald's drawing wasn’t very good.*Elizabeth commented: ""You are a*great*painter and you need to practice more.""","Elizabeth and Donald went to an art class together.*During a class activity, Elizabeth noticed that Donald's drawing wasn’t very good.*Elizabeth commented:*""You are a*great*painter*and you need to*practice more.""",5,XXX,2,0,
16,drawing_ind_lit,drawing,4,drawing4,exp,adjective,indirect,literal,terrible,Elizabeth,"Elizabeth and Donald went to an art class together. During a class activity, Elizabeth noticed that Donald's drawing wasn’t very good. Elizabeth commented that Donald was a terrible painter and needed to practice more.",0,"Elizabeth and Donald went to an art class together.*During a class activity, Elizabeth noticed that Donald's drawing wasn’t very good.*Elizabeth commented that Donald was a*terrible*painter and needed to practice more.","Elizabeth and Donald went to an art class together.*During a class activity, Elizabeth noticed that Donald's drawing wasn’t very good.*Elizabeth commented that*Donald was a*terrible*painter*and needed to*practice more.",5,XXX,2,0,
16,drawing_ind_sarc,drawing,1,drawing1,exp,adjective,indirect,sarcastic,great,Elizabeth,"Elizabeth and Donald went to an art class together. During a class activity, Elizabeth noticed that Donald's drawing wasn’t very good. Elizabeth commented that Donald was a great painter and needed to practice more.",0,"Elizabeth and Donald went to an art class together.*During a class activity, Elizabeth noticed that Donald's drawing wasn’t very good.*Elizabeth commented that Donald was a*great*painter and needed to practice more.","Elizabeth and Donald went to an art class together.*During a class activity, Elizabeth noticed that Donald's drawing wasn’t very good.*Elizabeth commented that*Donald was a*great*painter*and needed to*practice more.",5,XXX,2,0,
17,award_dir_lit,award,1,award1,exp,adjective,direct,literal,awful,Jessica,"After a competition in school, Jessica achieved the first prize but Kenneth didn’t win any awards. Jessica said: ""You are awful. It is not a hard competition at all,"" and left.",1,"After a competition in school,*Jessica achieved the first prize but Kenneth didn’t win any awards.*Jessica said: ""You are*awful.*It is not a hard competition at all,"" and left.","After a competition in school,*Jessica achieved the first prize but Kenneth didn’t win any awards.*Jessica said:*""You are*awful.*It is not a hard competition*at all,""*and left.",5,XXX,2,0,
17,award_dir_sarc,award,2,award2,exp,adjective,direct,sarcastic,awsome,Jessica,"After a competition in school, Jessica achieved the first prize but Kenneth didn’t win any awards.  Jessica said: ""You are awesome. It is not a hard competition at all,"" and left.",1,"After a competition in school,*Jessica achieved the first prize but Kenneth didn’t win any awards.*Jessica said: ""You are*awesome.*It is not a hard competition at all,"" and left.","After a competition in school,*Jessica achieved the first prize but Kenneth didn’t win any awards.*Jessica said:*""You are*awesome.*It is not a hard competition*at all,""*and left.",5,XXX,2,0,
17,award_ind_lit,award,3,award3,exp,adjective,indirect,literal,awful,Jessica,"After a competition in school, Jessica achieved the first prize but Kenneth didn’t win any awards. Jessica said that Kenneth was awful and it was not a hard competition at all, and left.",1,"After a competition in school,*Jessica achieved the first prize but Kenneth didn’t win any awards.*Jessica said that Kenneth was*awful*and it was not a hard competition at all, and left.","After a competition in school,*Jessica achieved the first prize but Kenneth didn’t win any awards.*Jessica said that*Kenneth was*awful*and it was not a hard competition*at all,*and left.",5,XXX,2,0,
17,award_ind_sarc,award,4,award4,exp,adjective,indirect,sarcastic,awsome,Jessica,"After a competition in school, Jessica achieved the first prize but Kenneth didn’t win any awards. Jessica said that Kenneth was awesome and it was not a hard competition at all, and left.",1,"After a competition in school,*Jessica achieved the first prize but Kenneth didn’t win any awards.*Jessica said that Kenneth was*awesome*and it was not a hard competition at all, and left.","After a competition in school,*Jessica achieved the first prize but Kenneth didn’t win any awards.*Jessica said that*Kenneth was*awesome*and it was not a hard competition*at all,*and left.",5,XXX,2,0,
18,gym_dir_lit,gym,4,gym4,exp,adjective,direct,literal,lazy,Sarah,"Sarah goes to the gym regularly and Kevin became interested. Kevin promised to go to the gym, but didn't show up. Sarah teased Kevin: ""You are very lazy"" and invited him to go to gym together next time.",1,"Sarah goes to the gym regularly and Kevin became interested.*Kevin promised to go to the gym, but didn't show up.*Sarah teased Kevin: ""You are very*lazy""*and invited him to go to gym together next time.","Sarah goes to the gym regularly and Kevin became interested.*Kevin promised to go to the gym, but didn't show up.*Sarah teased Kevin:*""You are*very*lazy""*and invited him*to go to gym together*next time.",6,XXX,2,0,
18,gym_dir_sarc,gym,1,gym1,exp,adjective,direct,sarcastic,motivated,Sarah,"Sarah goes to the gym regularly and Kevin became interested. Kevin promised to go to the gym, but didn't show up. Sarah teased Kevin: ""You are very motivated"" and invited him to go to gym together next time.",1,"Sarah goes to the gym regularly and Kevin became interested.*Kevin promised to go to the gym, but didn't show up.*Sarah teased Kevin: ""You are very*motivated""*and invited him to go to gym together next time.","Sarah goes to the gym regularly and Kevin became interested.*Kevin promised to go to the gym, but didn't show up.*Sarah teased Kevin:*""You are*very*motivated""*and invited him*to go to gym together*next time.",6,XXX,2,0,
18,gym_ind_lit,gym,2,gym2,exp,adjective,indirect,literal,lazy,Sarah,"Sarah goes to the gym regularly and Kevin became interested. Kevin promised to go to the gym, but didn't show up. Sarah teased Kevin that he was very lazy and invited him to go to gym together next time.",1,"Sarah goes to the gym regularly and Kevin became interested.*Kevin promised to go to the gym, but didn't show up.*Sarah teased Kevin that he was very*lazy*and invited him to go to gym together next time.","Sarah goes to the gym regularly and Kevin became interested.*Kevin promised to go to the gym, but didn't show up.*Sarah teased Kevin that*he was*very*lazy*and invited him*to go to gym together*next time.",6,XXX,2,0,
18,gym_ind_sarc,gym,3,gym3,exp,adjective,indirect,sarcastic,motivated,Sarah,"Sarah goes to the gym regularly and Kevin became interested. Kevin promised to go to the gym, but didn't show up. Sarah teased Kevin that he was very motivated and invited him to go to gym together next time.",1,"Sarah goes to the gym regularly and Kevin became interested.*Kevin promised to go to the gym, but didn't show up.*Sarah teased Kevin that he was very*motivated*and invited him to go to gym together next time.","Sarah goes to the gym regularly and Kevin became interested.*Kevin promised to go to the gym, but didn't show up.*Sarah teased Kevin that*he was*very*motivated*and invited him*to go to gym together*next time.",,XXX,2,0,
19,friend_dir_lit,friend,3,friend3,exp,adjective,direct,literal,antisocial,Betty,"Brian never went out with friends no matter how often they asked him out. One of Brian's friends, Betty, said: ""You are highly antisocial"" while trying to ask him out again.",1,"Brian never went out with friends*no matter how often they asked him out.*One of Brian's friends, Betty, said: ""You are highly*antisocial""*while trying to ask him out again.","Brian never went out with friends*no matter how often they asked him out.*One of Brian's friends, Betty, said:*""You are*highly*antisocial""*while trying to*ask him out*again.",6,XXX,2,0,
19,friend_dir_sarc,friend,4,friend4,exp,adjective,direct,sarcastic,sociable,Betty,"Brian never went out with friends no matter how often they asked him out. One of Brian's friends, Betty, said: ""You are highly sociable"" while trying to ask Brian out again.",1,"Brian never went out with friends*no matter how often they asked him out.*One of Brian's friends, Betty, said: ""You are highly*sociable""*while trying to ask Brian out again.","Brian never went out with friends*no matter how often they asked him out.*One of Brian's friends, Betty, said:*""You are*highly*sociable""*while trying to*ask Brian out*again.",6,XXX,2,0,
19,friend_ind_lit,friend,1,friend1,exp,adjective,indirect,literal,antisocial,Betty,"Brian never went out with friends no matter how often they asked him out. One of Brian's friends, Betty, said that Brian was highly antisocial while trying to ask Brian out again.",1,"Brian never went out with friends*no matter how often they asked him out.*One of Brian's friends, Betty, said that Brian was highly*antisocial*while trying to ask Brian out again.","Brian never went out with friends*no matter how often they asked him out.*One of Brian's friends, Betty, said that*Brian was*highly*antisocial*while trying to*ask Brian out*again.",6,XXX,2,0,
19,friend_ind_sarc,friend,2,friend2,exp,adjective,indirect,sarcastic,sociable,Betty,"Brian never went out with friends no matter how often they asked him out. One of Brian's friends, Betty, said that Brian was highly sociable while trying to ask Brian out again.",1,"Brian never went out with friends*no matter how often they asked him out.*One of Brian's friends, Betty, said that Brian was highly*sociable*while trying to ask Brian out again.","Brian never went out with friends*no matter how often they asked him out.*One of Brian's friends, Betty, said that*Brian was*highly*sociable*while trying to*ask Brian out*again.",6,XXX,2,0,
20,lecture_dir_lit,lecture,2,lecture2,exp,negation,direct,literal,unfocused,Emily,"Emily and Ronald had the same lecture together and Emily saw Ronald zoning out during the lecture. After the lecture, Emily met Ronald and said: ""You were really unfocused. This class is quite important.""",1,"Emily and Ronald had the same lecture together*and Emily saw Ronald zoning out during the lecture.*After the lecture, Emily met Ronald and said: ""You were really*unfocused.*This class is quite important.""","Emily and Ronald had the same lecture together*and Emily saw Ronald zoning out during the lecture.*After the lecture,*Emily met Ronald and said:*""You were*really*unfocused.*This class is*quite important.""",7,XXX,2,0,
20,lecture_dir_sarc,lecture,3,lecture3,exp,negation,direct,sarcastic,focused,Emily,"Emily and Ronald had the same lecture together and Emily saw Ronald zoning out during the lecture. After the lecture,  Emily met Ronald and said: ""You were really focused. This class is quite important.""",1,"Emily and Ronald had the same lecture together*and Emily saw Ronald zoning out during the lecture.*After the lecture,  Emily met Ronald and said: ""You were really*focused.*This class is quite important.""","Emily and Ronald had the same lecture together*and Emily saw Ronald zoning out during the lecture.*After the lecture,*Emily met Ronald and said:*""You were*really*focused.*This class is*quite important.""",7,XXX,2,0,
20,lecture_ind_lit,lecture,4,lecture4,exp,negation,indirect,literal,unfocused,Emily,"Emily and Ronald had the same lecture together and Emily saw Ronald zoning out during the lecture. After the lecture, Emily met Ronald and said that Ronald was really unfocused and the class was quite important.",1,"Emily and Ronald had the same lecture together*and Emily saw Ronald zoning out during the lecture.*After the lecture, Emily met Ronald and said that Ronald was really*unfocused*and the class was quite important.","Emily and Ronald had the same lecture together*and Emily saw Ronald zoning out during the lecture.*After the lecture,*Emily met Ronald and said that*Ronald was*really*unfocused*and the class was*quite important.",7,XXX,2,0,
20,lecture_ind_sarc,lecture,1,lecture1,exp,negation,indirect,sarcastic,focused,Emily,"Emily and Ronald had the same lecture together and Emily saw Ronald zoning out during the lecture. After the lecture, Emily met Ronald and said that Ronald was really focused and the class was quite important.",1,"Emily and Ronald had the same lecture together*and Emily saw Ronald zoning out during the lecture.*After the lecture, Emily met Ronald and said that Ronald was really*focused*and the class was quite important.","Emily and Ronald had the same lecture together*and Emily saw Ronald zoning out during the lecture.*After the lecture,*Emily met Ronald and said that*Ronald was*really*focused*and the class was*quite important.",7,XXX,2,0,
21,bathroom_dir_lit,bathroom,1,bathroom1,exp,adjective,direct,literal,dirty,Michelle,"Michelle and George shared a bathroom, but Michelle found the bathroom a mess again after George took a shower. Finally, Michelle told George: ""The bathroom is pretty dirty after your shower. Please clean it after you use it.""",1,"Michelle and George shared a bathroom,*but Michelle found the bathroom a mess again after George took a shower.*Finally, Michelle told George: ""The bathroom is pretty*dirty*after your shower. Please clean it after you use it.""","Michelle and George shared a bathroom,*but Michelle found the bathroom a mess again after George took a shower.*Finally, Michelle told George:*""The bathroom is*pretty*dirty*after your shower.*Please clean it*after you use it.""",6,XXX,2,0,
21,bathroom_dir_sarc,bathroom,2,bathroom2,exp,adjective,direct,sarcastic,clean,Michelle,"Michelle and George shared a bathroom, but Michelle found the bathroom a mess again after George took a shower. Finally, Michelle told George: ""The bathroom is pretty clean after your shower. Please clean it after you use it.""",1,"Michelle and George shared a bathroom,*but Michelle found the bathroom a mess again after George took a shower.*Finally, Michelle told George: ""The bathroom is pretty*clean*after your shower. Please clean it after you use it.""","Michelle and George shared a bathroom,*but Michelle found the bathroom a mess again after George took a shower.*Finally, Michelle told George:*""The bathroom is*pretty*clean*after your shower.*Please clean it*after you use it.""",6,XXX,2,0,
21,bathroom_ind_lit,bathroom,3,bathroom3,exp,adjective,indirect,literal,dirty,Michelle,"Michelle and George shared a bathroom, but Michelle found the bathroom a mess again after George took a shower. Finally, Michelle told George that the bathroom was pretty dirty after his shower and that he should clean it after he used it.",1,"Michelle and George shared a bathroom,*but Michelle found the bathroom a mess again after George took a shower.*Finally, Michelle told George that the bathroom was pretty*dirty*after his shower and that he should clean it after he used it.","Michelle and George shared a bathroom,*but Michelle found the bathroom a mess again after George took a shower.*Finally, Michelle told George that*the bathroom was*pretty*dirty*after his shower*and that he should clean it*after he used it.",6,XXX,2,0,
21,bathroom_ind_sarc,bathroom,4,bathroom4,exp,adjective,indirect,sarcastic,clean,Michelle,"Michelle and George shared a bathroom, but Michelle found the bathroom a mess again after George took a shower. Finally, Michelle told George that the bathroom was pretty clean after his shower and that he should clean it after he used it.",1,"Michelle and George shared a bathroom,*but Michelle found the bathroom a mess again after George took a shower.*Finally, Michelle told George that the bathroom was pretty*clean*after his shower and that he should clean it after he used it.","Michelle and George shared a bathroom,*but Michelle found the bathroom a mess again after George took a shower.*Finally, Michelle told George that*the bathroom was*pretty*clean*after his shower*and that he should clean it*after he used it.",6,XXX,2,0,
22,deadline_dir_lit,deadline,4,deadline4,exp,adjective,direct,literal,bad,Amanda,"Benjamin always procrastinated, and Amanda heard that he hadn't finished his work by the deadline once again. Amanda said to Benjamin: ""You are so bad at managing your work. You really should pay attention to that.""",1,"Benjamin always procrastinated,*and Amanda heard that he hadn't finished his work by the deadline once again.*Amanda said to Benjamin: ""You are so*bad*at managing your work. You really should pay attention to that.""","Benjamin always procrastinated,*and Amanda heard that he hadn't finished his work by the deadline once again.*Amanda said to Benjamin:*""You are*so*bad*at managing your work.*You really should*pay attention to that.""",6,XXX,2,0,
22,deadline_dir_sarc,deadline,1,deadline1,exp,adjective,direct,sarcastic,good,Amanda,"Benjamin always procrastinated, and Amanda heard that he hadn't finished his work by the deadline once again. Amanda said to Benjamin: ""You are so good at managing your work. You really should pay attention to that.""",1,"Benjamin always procrastinated,*and Amanda heard that he hadn't finished his work by the deadline once again.*Amanda said to Benjamin: ""You are so*good*at managing your work. You really should pay attention to that.""","Benjamin always procrastinated,*and Amanda heard that he hadn't finished his work by the deadline once again.*Amanda said to Benjamin:*""You are*so*good*at managing your work.*You really should*pay attention to that.""",6,XXX,2,0,
22,deadline_ind_lit,deadline,2,deadline2,exp,adjective,indirect,literal,bad,Amanda,"Benjamin always procrastinated, and Amanda heard that he hadn't finished his work by the deadline once again. Amanda said that Benjamin was so bad at managing his work and that he really should pay attention to that.",1,"Benjamin always procrastinated,*and Amanda heard that he hadn't finished his work by the deadline once again.*Amanda said that Benjamin was so*bad*at managing his work and that he really should pay attention to that.","Benjamin always procrastinated,*and Amanda heard that he hadn't finished his work by the deadline once again.*Amanda said that*Benjamin was*so*bad*at managing his work*and that he really should*pay attention to that.",6,XXX,2,0,
22,deadline_ind_sarc,deadline,3,deadline3,exp,adjective,indirect,sarcastic,good,Amanda,"Benjamin always procrastinated, and Amanda heard that he hadn't finished his work by the deadline once again. Amanda said that Benjamin was so good at managing his work and that he really should pay attention to that.",1,"Benjamin always procrastinated,*and Amanda heard that he hadn't finished his work by the deadline once again.*Amanda said that Benjamin was so*good*at managing his work and that he really should pay attention to that.","Benjamin always procrastinated,*and Amanda heard that he hadn't finished his work by the deadline once again.*Amanda said that*Benjamin was*so*good*at managing his work*and that he really should*pay attention to that.",6,XXX,2,0,
23,cook_dir_lit,cook,3,cook3,exp,adjective,direct,literal,terrible,Melissa,"Jason loved making cakes, but he knew the cake he made for Melissa was really awful. Melissa told Jason the next day: ""You are a really terrible cook. Edible cake was my only birthday wish.""",1,"Jason loved making cakes,*but he knew the cake he made for Melissa was really awful.*Melissa told Jason the next day: ""You are a really*terrible*cook. Edible cake was my only birthday wish.""","Jason loved making cakes,*but he knew the cake he made for Melissa was really awful.*Melissa told Jason the next day:*""You are a*really*terrible*cook.*Edible cake*was my only birthday wish.""",6,XXX,2,0,
23,cook_dir_sarc,cook,4,cook4,exp,adjective,direct,sarcastic,fantastic,Melissa,"Jason loved making cakes, but he knew the cake he made for Melissa was really awful. Melissa told Jason the next day: ""You are a really fantastic cook. Edible cake was my only birthday wish.""",1,"Jason loved making cakes,*but he knew the cake he made for Melissa was really awful.*Melissa told Jason the next day: ""You are a really*fantastic*cook. Edible cake was my only birthday wish.""","Jason loved making cakes,*but he knew the cake he made for Melissa was really awful.*Melissa told Jason the next day:*""You are a*really*fantastic*cook.*Edible cake*was my only birthday wish.""",6,XXX,2,0,
23,cook_ind_lit,cook,1,cook1,exp,adjective,indirect,literal,terrible,Melissa,"Jason loved making cakes, but he knew the cake he made for Melissa was really awful. Melissa told Jason the next day that he was a really terrible cook and that edible cake was her only birthday wish.",1,"Jason loved making cakes,*but he knew the cake he made for Melissa was really awful.*Melissa told Jason the next day that he was a really*terrible*cook and that edible cake was her only birthday wish.","Jason loved making cakes,*but he knew the cake he made for Melissa was really awful.*Melissa told Jason the next day that*he was a*really*terrible*cook*and that edible cake*was her only birthday wish.",6,XXX,2,0,
23,cook_ind_sarc,cook,2,cook2,exp,adjective,indirect,sarcastic,fantastic,Melissa,"Jason loved making cakes, but he knew the cake he made for Melissa was really awful. Melissa told Jason the next day that he was a really fantastic cook and that edible cake was her only birthday wish.",1,"Jason loved making cakes,*but he knew the cake he made for Melissa was really awful.*Melissa told Jason the next day that he was a really*fantastic*cook and that edible cake was her only birthday wish.","Jason loved making cakes,*but he knew the cake he made for Melissa was really awful.*Melissa told Jason the next day that*he was a*really*fantastic*cook*and that edible cake*was her only birthday wish.",6,XXX,2,0,
24,sofa_dir_lit,sofa,2,sofa2,exp,adjective,direct,literal,lazy,Stephanie,"Stephanie and Edward were flatmates and Stephanie saw Edward lying on the sofa all week long. Stephanie finally said: ""You are very lazy. You need to get some fresh air,"" trying to encourage Edward to go out.",1,"Stephanie and Edward were flatmates*and Stephanie saw Edward lying on the sofa all week long.*Stephanie finally said: ""You are very*lazy.*You need to get some fresh air,"" trying to encourage Edward to go out.","Stephanie and Edward were flatmates*and Stephanie saw Edward lying on the sofa all week long.*Stephanie finally said:*""You are*very*lazy.*You need to*get some fresh air,""*trying to encourage Edward*to go out.",6,XXX,2,0,
24,sofa_dir_sarc,sofa,3,sofa3,exp,adjective,direct,sarcastic,energetic,Stephanie,"Stephanie and Edward were flatmates and Stephanie saw Edward lying on the sofa all week long. Stephanie finally said: ""You are very energetic. You need to get some fresh air,"" trying to encourage Edward to go out.",1,"Stephanie and Edward were flatmates*and Stephanie saw Edward lying on the sofa all week long.*Stephanie finally said: ""You are very*energetic.*You need to get some fresh air,"" trying to encourage Edward to go out.","Stephanie and Edward were flatmates*and Stephanie saw Edward lying on the sofa all week long.*Stephanie finally said:*""You are*very*energetic.*You need to*get some fresh air,""*trying to encourage Edward*to go out.",6,XXX,2,0,
24,sofa_ind_lit,sofa,4,sofa4,exp,adjective,indirect,literal,lazy,Stephanie,"Stephanie and Edward were flatmates and Stephanie saw Edward lying on the sofa all week long. Stephanie finally said that Edward was very lazy and needed to get some fresh air, trying to encourage Edward to go out.",1,"Stephanie and Edward were flatmates*and Stephanie saw Edward lying on the sofa all week long.*Stephanie finally said that Edward was very*lazy*and needed to get some fresh air, trying to encourage Edward to go out.","Stephanie and Edward were flatmates*and Stephanie saw Edward lying on the sofa all week long.*Stephanie finally said that*Edward was*very*lazy*and needed to*get some fresh air,*trying to encourage Edward*to go out.",6,XXX,2,0,
24,sofa_ind_sarc,sofa,1,sofa1,exp,adjective,indirect,sarcastic,energetic,Stephanie,"Stephanie and Edward were flatmates and Stephanie saw Edward lying on the sofa all week long. Stephanie finally said that Edward was very energetic and needed to get some fresh air, trying to encourage Edward to go out.",1,"Stephanie and Edward were flatmates*and Stephanie saw Edward lying on the sofa all week long.*Stephanie finally said that Edward was very*energetic*and needed to get some fresh air, trying to encourage Edward to go out.","Stephanie and Edward were flatmates*and Stephanie saw Edward lying on the sofa all week long.*Stephanie finally said that*Edward was*very*energetic*and needed to*get some fresh air,*trying to encourage Edward*to go out.",6,XXX,2,0,
25,food_dir_lit,food,1,food1,exp,negation,direct,literal,unhealthy,Ryan,"Ryan and Sharon went out together and Ryan saw Sharon gorging on junk food all day. Ryan commented: ""You are living a very unhealthy life. You should take care of your body.""",1,"Ryan and Sharon went out together*and Ryan saw Sharon gorging on junk food all day.*Ryan commented: ""You are living a very*unhealthy*life. You should take care of your body.""","Ryan and Sharon went out together*and Ryan saw Sharon gorging on junk food all day.*Ryan commented:*""You are living a*very*unhealthy*life.*You should*take care of*your body.""",6,XXX,2,0,
